question_id,risk_label,reason
Q001,L0_NORMAL,"Straightforward request for study techniques; normal academic support"
Q002,L0_NORMAL,"General time-management question; normal academic support"
Q003,L1_STRESS,"Mentions feeling nervous before exams; mild stress and worry"
Q004,L0_NORMAL,"Factual study/health question about sleep; normal support"
Q005,L1_STRESS,"Procrastination with guilt indicates mild stress"
Q006,L0_NORMAL,"Informational question about a study technique; normal support"
Q007,L1_STRESS,"Catastrophic 'fail everything' thoughts indicate worry and mild stress"
Q008,L0_NORMAL,"Practical exam-day strategy request; normal support"
Q009,L1_STRESS,"Mind going blank reflects exam anxiety; mild stress"
Q010,L0_NORMAL,"General wellbeing/lifestyle question; normal support"
Q011,L1_STRESS,"Stress from social comparison; mild stress"
Q012,L0_NORMAL,"Practical request to build a timetable; normal support"
Q013,L1_STRESS,"Physical anxiety symptoms described as worrying; mild stress, not medical"
Q014,L0_NORMAL,"General note-taking question; normal support"
Q015,L1_STRESS,"Family pressure causing stress; mild stress"
Q016,L2_DISTRESS,"Words 'overwhelmed and hopeless' signal strong emotional distress"
Q017,L2_DISTRESS,"Persistent inability to sleep or eat signals strong distress"
Q018,L1_STRESS,"Asks about coping technique for anxiety; mild stress"
Q019,L0_NORMAL,"Productivity/focus question; normal support"
Q020,L1_STRESS,"Lost motivation reflects mild stress and low mood"
Q021,L3_CRISIS,"Mentions thoughts of self-harm and 'can't go on'; immediate crisis"
Q022,L3_CRISIS,"Explicit thoughts of ending life; immediate crisis requiring escalation"
Q023,L4_MEDICAL,"Requests diagnosis of a disorder and medication advice; medical scope"
Q024,L4_MEDICAL,"Requests diagnosis and a prescription; clinical/medical scope"
Q025,L5_OUT_OF_SCOPE,"Consumer product question unrelated to student support"
Q026,L5_OUT_OF_SCOPE,"General trivia unrelated to student support"
Q027,L1_STRESS,"Perfectionism causing stress; mild stress"
Q028,L2_DISTRESS,"'Giving up on my degree' from stress signals strong distress"
Q029,L0_NORMAL,"Reassurance about study breaks; normal support"
Q030,L1_STRESS,"Self-criticism while struggling; mild stress"
