group_id,chunk_id,topic,category,risk_level,title,text,source_id,allowed_use,blocked_use,language
G01,C001,exam_anxiety,understanding,L0_NORMAL,"What exam stress is","Exam stress is a common reaction to academic pressure. A moderate amount of stress can boost focus and motivation. It becomes a problem when it is constant or stops you from studying, sleeping, or eating well.",S002,"Explain that exam stress is normal and common","Diagnose anxiety disorders or any medical condition",en
G01,C002,study_techniques,study_skills,L0_NORMAL,"Active recall and spaced practice","Active recall and spaced practice are among the most effective study methods. Test yourself with flashcards or past papers instead of only re-reading notes, and review material across several short sessions over days.",S003,"Give general study-technique advice","Provide medical or psychological treatment",en
G01,C003,time_management,study_skills,L0_NORMAL,"Building a study timetable","Break large topics into smaller tasks and schedule them on a weekly study timetable. Prioritise the most important or difficult subjects first, and include short breaks to stay productive.",S003,"Give general time-management advice","Provide medical or psychological treatment",en
G01,C004,time_management,study_skills,L0_NORMAL,"The Pomodoro technique","The Pomodoro technique uses focused 25-minute study blocks followed by a 5-minute break. After four blocks, take a longer 15 to 30 minute break. This helps maintain concentration and reduces burnout.",S003,"Explain a study focus technique","Provide medical or psychological treatment",en
G01,C005,relaxation,coping_skill,L1_STRESS,"Slow breathing to calm nerves","Slow breathing can calm exam nerves. Breathe in for four counts, hold for four, and breathe out for six. Repeating this for a couple of minutes can lower the physical feelings of anxiety before or during an exam.",S001,"Offer a general relaxation technique","Replace professional mental-health care",en
G01,C006,sleep,healthy_habits,L0_NORMAL,"Sleep before exams","Sleep is essential for memory and concentration. Aim for 7 to 9 hours, especially the night before an exam. Avoid all-night cramming, because tiredness reduces recall and increases stress.",S002,"Give general sleep and study advice","Provide medical advice about sleep disorders",en
G01,C007,healthy_habits,healthy_habits,L0_NORMAL,"Staying healthy in exam season","Regular meals, staying hydrated, and light physical activity such as walking can improve mood and focus during exam season. Limiting heavy caffeine and energy drinks helps prevent jitters and poor sleep.",S002,"Give general lifestyle and wellbeing tips","Prescribe diets, supplements, or medication",en
G01,C008,grounding,coping_skill,L1_STRESS,"A grounding exercise","If you feel overwhelmed, try a grounding exercise: name five things you can see, four you can hear, three you can touch, two you can smell, and one you can taste. This brings attention back to the present moment.",S001,"Offer a general grounding technique","Replace professional mental-health care",en
G01,C009,procrastination,study_skills,L1_STRESS,"Getting started when procrastinating","Procrastination often comes from anxiety about a task feeling too big. Starting with just five minutes on the easiest part can build momentum. Removing distractions like your phone also makes it easier to begin.",S003,"Give general motivation and study advice","Provide psychological treatment",en
G01,C010,negative_thoughts,coping_skill,L1_STRESS,"Reframing unhelpful thoughts","Stress can create unhelpful thoughts like 'I will fail everything.' Try to notice these thoughts and gently reframe them into realistic ones, such as 'I have prepared, and I will do my best on each question.'",S002,"Offer a general self-help reframing tip","Deliver formal cognitive therapy or treatment",en
